Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
Q8VEC3	AGRF1_MOUSE	Adhesion G-protein coupled receptor F1 (G-protein coupled receptor 110)	Adgrf1 Gpr110	Mus musculus (Mouse)	908						10090.ENSMUSP00000049380;		
Q9D2L6	AGRF4_MOUSE	Adhesion G protein-coupled receptor F4 (G-protein coupled receptor 115)	Adgrf4 Gpr115	Mus musculus (Mouse)	698						10090.ENSMUSP00000024711;		MISCELLANEOUS: Most adhesion GPCRs undergo autoproteolysis at the GPS domain. ADGRF2 is not autoproteolyzed at the GPS motif because of the lack of a consensus catalytic triad sequence within GPS domain. {ECO:0000269|PubMed:22837050}.
Q9R049	AMFR_MOUSE	E3 ubiquitin-protein ligase AMFR (EC 6.3.2.-) (Autocrine motility factor receptor) (AMF receptor)	Amfr	Mus musculus (Mouse)	643	Q9JI78; Q01853	204722;		Q9R049;	MINT-1864613;	10090.ENSMUSP00000052258;		
Q8K348	ACV1C_MOUSE	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	Acvr1c Alk7	Mus musculus (Mouse)	493		234631;		Q8K348;	MINT-2842395;	10090.ENSMUSP00000028178;		
Q01337	ADA2C_MOUSE	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Mus musculus (Mouse)	458				Q01337;		10090.ENSMUSP00000059705;		
B7ZCC9	AGRG4_MOUSE	Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112)	Adgrg4 Gpr112	Mus musculus (Mouse)	3073						10090.ENSMUSP00000116634;		
P29755	AGTRB_MOUSE	Type-1B angiotensin II receptor (AT3) (Angiotensin II type-1B receptor) (AT1B)	Agtr1b	Mus musculus (Mouse)	359						10090.ENSMUSP00000068298;		
Q8CGM1	AGRB2_MOUSE	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	Adgrb2 Bai2	Mus musculus (Mouse)	1561	Q06547			Q8CGM1;	MINT-1504097;	10090.ENSMUSP00000101638;		
Q8K209	AGRG1_MOUSE	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Serpentine receptor cyt28) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1-CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	Adgrg1 Cyt28 Gpr56	Mus musculus (Mouse)	687				Q8K209;		10090.ENSMUSP00000090959;		
P29754	AGTRA_MOUSE	Type-1A angiotensin II receptor (Angiotensin II type-1A receptor) (AT1A)	Agtr1a Agtr1	Mus musculus (Mouse)	359	Q9WVK0	198029;		P29754;	MINT-1339574;	10090.ENSMUSP00000070958;		
P24721	ASGR2_MOUSE	Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (Hepatic lectin 2) (HL-2) (mHL-2)	Asgr2 Asgr-2	Mus musculus (Mouse)	301				P24721;	MINT-4088431;	10090.ENSMUSP00000099632;		MISCELLANEOUS: Calcium is required for ligand binding.
Q6DFX2	ANTR2_MOUSE	Anthrax toxin receptor 2	Antxr2	Mus musculus (Mouse)	487						10090.ENSMUSP00000031281;		
Q9WV08	APJ_MOUSE	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (MSR)	Aplnr Agtrl1 Apj	Mus musculus (Mouse)	377						10090.ENSMUSP00000053638;		
P34927	ASGR1_MOUSE	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (Hepatic lectin 1) (HL-1) (mHL-1)	Asgr1 Asgr-1	Mus musculus (Mouse)	284				P34927;	MINT-4121801;	10090.ENSMUSP00000018699;		MISCELLANEOUS: Calcium is required for ligand binding.
P27038	AVR2A_MOUSE	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA)	Acvr2a Acvr2	Mus musculus (Mouse)	513		197955;	DIP-5825N;	P27038;		10090.ENSMUSP00000067305;		
P27040	AVR2B_MOUSE	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	Acvr2b	Mus musculus (Mouse)	536		197956;	DIP-5799N;	P27040;	MINT-2842249;	10090.ENSMUSP00000126108;		
Q9WU60	ATRN_MOUSE	Attractin (Protein mahogany)	Atrn Mg Mgca	Mus musculus (Mouse)	1428						10090.ENSMUSP00000028781;		
Q61125	BKRB1_MOUSE	B1 bradykinin receptor (B1R) (BK-1 receptor)	Bdkrb1 Bdkrb	Mus musculus (Mouse)	334						10090.ENSMUSP00000045335;		
Q7TSA3	BTLA_MOUSE	B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272)	Btla	Mus musculus (Mouse)	306		228954;				10090.ENSMUSP00000067877;		
O35607	BMPR2_MOUSE	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	Bmpr2	Mus musculus (Mouse)	1038	P0C605	198373;		O35607;	MINT-1743993;	10090.ENSMUSP00000084701;		
P36898	BMR1B_MOUSE	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (Activin receptor-like kinase 6) (ALK-6) (Serine/threonine-protein kinase receptor R6) (SKR6) (CD antigen CDw293)	Bmpr1b Acvrlk6	Mus musculus (Mouse)	502	O35182		DIP-252N;	P36898;	MINT-124245;	10090.ENSMUSP00000029948;		
O54798	BRS3_MOUSE	Bombesin receptor subtype-3 (BRS-3)	Brs3	Mus musculus (Mouse)	399						10090.ENSMUSP00000033464;		
Q91ZX1	C209A_MOUSE	CD209 antigen-like protein A (Dendritic cell-specific ICAM-3-grabbing non-integrin) (DC-SIGN) (CD antigen CD209)	Cd209a Cire	Mus musculus (Mouse)	238						10090.ENSMUSP00000012847;	"CAUTION: In mouse, 5 genes homologous to human CD209/DC-SIGN and CD209L/DC-SIGNR have been identified. Mouse CD209A product was named DC-SIGN by PubMed:11581173 because of its similar expression pattern and chromosomal location in juxtaposition to CD23, but despite of the low sequence similarity. {ECO:0000305}."	
Q91ZW8	C209D_MOUSE	CD209 antigen-like protein D (DC-SIGN-related protein 3) (DC-SIGNR3) (CD antigen CD209)	Cd209d	Mus musculus (Mouse)	237						10090.ENSMUSP00000011445;	"CAUTION: In mouse, 5 genes homologous to human CD209/DC-SIGN and CD209L/DC-SIGNR have been identified. {ECO:0000305}."	
Q8BW93	C5AR2_MOUSE	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)	C5ar2 C5l2 Gpr77	Mus musculus (Mouse)	344				Q8BW93;		10090.ENSMUSP00000096389;		
Q60755	CALCR_MOUSE	Calcitonin receptor (CT-R)	Calcr	Mus musculus (Mouse)	533						10090.ENSMUSP00000075070;		
Q9R1W5	CALRL_MOUSE	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	Calcrl Crlr	Mus musculus (Mouse)	463						10090.ENSMUSP00000073875;		
P51683	CCR2_MOUSE	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (JE/FIC receptor) (MCP-1 receptor) (CD antigen CD192)	Ccr2 Cmkbr2	Mus musculus (Mouse)	373		198772;				10090.ENSMUSP00000049909;		
P51682	CCR5_MOUSE	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (MIP-1 alpha receptor) (CD antigen CD195)	Ccr5 Cmkbr5	Mus musculus (Mouse)	354				P51682;		10090.ENSMUSP00000107069;		
Q9WUT7	CCR9_MOUSE	C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (Chemokine C-C receptor 10) (CD antigen CDw199)	Ccr9 Cmkbr10	Mus musculus (Mouse)	369		198769;	DIP-5886N;			10090.ENSMUSP00000126758;		
Q91ZW7	C209E_MOUSE	CD209 antigen-like protein E (DC-SIGN-related protein 4) (DC-SIGNR4) (CD antigen CD209)	Cd209e	Mus musculus (Mouse)	208					MINT-4997901;	10090.ENSMUSP00000033888;	"CAUTION: In mouse, 5 genes homologous to human CD209/DC-SIGN and CD209L/DC-SIGNR have been identified. {ECO:0000305}."	
P30993	C5AR1_MOUSE	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	C5ar1 C5ar C5r1	Mus musculus (Mouse)	351				P30993;		10090.ENSMUSP00000060003;		
Q9QY96	CASR_MOUSE	Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1)	Casr Gprc2a	Mus musculus (Mouse)	1079						10090.ENSMUSP00000069080;		
P51676	CC1L1_MOUSE	C-C chemokine receptor 1-like protein 1 (Macrophage inflammatory protein 1 alpha receptor-like 1)	Ccr1l1 Cmkbr1l1	Mus musculus (Mouse)	356						10090.ENSMUSP00000071353;		
P32299	BKRB2_MOUSE	B2 bradykinin receptor (B2R) (BK-2 receptor)	Bdkrb2	Mus musculus (Mouse)	392						10090.ENSMUSP00000001652;		
O89103	C1QR1_MOUSE	Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR(p)) (C1qRp) (Cell surface antigen AA4) (Complement component 1 q subcomponent receptor 1) (Lymphocyte antigen 68) (Ly-68) (CD antigen CD93)	Cd93 Aa4 C1qr1 C1qrp Ly68	Mus musculus (Mouse)	644				O89103;	MINT-4089466;	10090.ENSMUSP00000096876;		
O09047	C3AR_MOUSE	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R) (Complement component 3a receptor 1)	C3ar1 C3r1	Mus musculus (Mouse)	477						10090.ENSMUSP00000048092;		
P22646	CD3E_MOUSE	T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e)	Cd3e	Mus musculus (Mouse)	189		198596;		P22646;	MINT-7895702;	10090.ENSMUSP00000099896;		
P15379	CD44_MOUSE	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Cd44 Ly-24	Mus musculus (Mouse)	778	O08573; Q64729; Q60610; Q6ZPF3		DIP-29095N;	P15379;		10090.ENSMUSP00000005218;		
Q9R0M0	CELR2_MOUSE	Cadherin EGF LAG seven-pass G-type receptor 2 (Flamingo homolog)	Celsr2	Mus musculus (Mouse)	2920	Q7T0S3			Q9R0M0;	MINT-5202369;	10090.ENSMUSP00000088046;		
O08786	CCKAR_MOUSE	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)	Cckar	Mus musculus (Mouse)	436					MINT-1534448;	10090.ENSMUSP00000031093;		
P04235	CD3D_MOUSE	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	Cd3d T3d	Mus musculus (Mouse)	173						10090.ENSMUSP00000034602;		
P51678	CCR3_MOUSE	Probable C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (Macrophage inflammatory protein 1-alpha receptor-like 2) (MIP-1 alpha RL2) (CD antigen CD193)	Ccr3 Cmkbr1l2 Cmkbr3	Mus musculus (Mouse)	359						10090.ENSMUSP00000039107;		
P56484	CCR8_MOUSE	C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CD antigen CDw198)	Ccr8 Cmkbr8 Ter1	Mus musculus (Mouse)	353						10090.ENSMUSP00000038473;		
P47774	CCR7_MOUSE	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	Ccr7 Cmkbr7 Ebi1 Ebi1h	Mus musculus (Mouse)	378	P20963			P47774;		10090.ENSMUSP00000099423;		
Q62192	CD180_MOUSE	CD180 antigen (Lymphocyte antigen 78) (Ly-78) (Radioprotective 105 kDa protein) (CD antigen CD180)	Cd180 Ly78 Rp105	Mus musculus (Mouse)	661			DIP-30961N;	Q62192;		10090.ENSMUSP00000022124;		
Q9R069	BCAM_MOUSE	Basal cell adhesion molecule (B-CAM cell surface glycoprotein) (Lutheran antigen) (CD antigen CD239)	Bcam Gplu Lu	Mus musculus (Mouse)	622				Q9R069;	MINT-4130729;	10090.ENSMUSP00000003061;		
Q8CJ91	C209B_MOUSE	CD209 antigen-like protein B (DC-SIGN-related protein 1) (DC-SIGNR1) (OtB7) (CD antigen CD209)	Cd209b	Mus musculus (Mouse)	325			DIP-61328N;			10090.ENSMUSP00000081104;	"CAUTION: In mouse, 5 genes homologous to human CD209/DC-SIGN and CD209L/DC-SIGNR have been identified. {ECO:0000305}."	"MISCELLANEOUS: In vitro, is a receptor for HIV-1, HIV-2 and SIV, but does not transmit virus to permissive T-cells under the conditions tested."
P42082	CD86_MOUSE	T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (Early T-cell costimulatory molecule 1) (ETC-1) (CD antigen CD86)	Cd86	Mus musculus (Mouse)	309		198617;				10090.ENSMUSP00000087047;		
Q9Z0M6	CD97_MOUSE	CD97 antigen (CD antigen CD97) [Cleaved into: CD97 antigen subunit alpha; CD97 antigen subunit beta]	Cd97	Mus musculus (Mouse)	818				Q9Z0M6;	MINT-4090290;	10090.ENSMUSP00000075240;		
O35161	CELR1_MOUSE	Cadherin EGF LAG seven-pass G-type receptor 1	Celsr1	Mus musculus (Mouse)	3034	Q7T0S3			O35161;	MINT-5312768;	10090.ENSMUSP00000016172;		
Q91ZI0	CELR3_MOUSE	Cadherin EGF LAG seven-pass G-type receptor 3	Celsr3	Mus musculus (Mouse)	3301				Q91ZI0;		10090.ENSMUSP00000024238;		
Q504P2	CL12A_MOUSE	C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Myeloid inhibitory C-type lectin-like receptor) (MICL)	Clec12a Micl	Mus musculus (Mouse)	267						10090.ENSMUSP00000063627;		
Q9JL99	CLC1B_MOUSE	C-type lectin domain family 1 member B (C-type lectin-like receptor 2) (CLEC-2)	Clec1b Clec2	Mus musculus (Mouse)	229						10090.ENSMUSP00000032262;		MISCELLANEOUS: Acts as a receptor for the platelet-aggregating snake venom protein rhodocytin. Rhodocytin binding leads to tyrosine phosphorylation and this promotes the binding of spleen tyrosine kinase (Syk) and initiation of downstream tyrosine phosphorylation events and activation of PLC-gamma-2 (PubMed:16174766). {ECO:0000305|PubMed:16174766}.
Q91V08	CLC2D_MOUSE	C-type lectin domain family 2 member D (C-type lectin-related protein B) (Clr-b) (Lectin-like transmembrane protein) (Osteoclast inhibitory lectin)	Clec2d Clrb Ocil	Mus musculus (Mouse)	207						10090.ENSMUSP00000032260;		
Q9WVF9	CLC2I_MOUSE	C-type lectin domain family 2 member I (C-type lectin-related protein DCL1) (C-type lectin-related protein G) (Clr-g) (Lymphoid-derived C-type lectin-1) (LCL-1) (Osteoclast inhibitory lectin-related protein 2) (Ocil-related protein 2)	Clec2i Clrg Dcl1 Ocilrp2	Mus musculus (Mouse)	217		220229;				10090.ENSMUSP00000032519;		
Q8K249	CLM2_MOUSE	CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CD antigen CD300e)	Cd300e Cd300le Clm2	Mus musculus (Mouse)	196								
Q9JL21	CCR10_MOUSE	C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (Chemokine C-C receptor 9) (G-protein coupled receptor 2)	Ccr10 Cmkbr9 Gpr2	Mus musculus (Mouse)	362						10090.ENSMUSP00000062588;		
P24161	CD3Z_MOUSE	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	Cd247 Cd3z Tcrz	Mus musculus (Mouse)	164	Q9WU22	198598;		P24161;	MINT-7895650;	10090.ENSMUSP00000027849;		
P50283	CD7_MOUSE	T-cell antigen CD7 (CD antigen CD7)	Cd7	Mus musculus (Mouse)	210						10090.ENSMUSP00000026159;		
Q00609	CD80_MOUSE	T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (B7) (CD antigen CD80)	Cd80 B7	Mus musculus (Mouse)	306	Q9EP73			Q00609;		10090.ENSMUSP00000097404;		
P51675	CCR1_MOUSE	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)	Ccr1 Cmkbr1	Mus musculus (Mouse)	355						10090.ENSMUSP00000026911;		
O35457	CCRL2_MOUSE	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (G-protein coupled beta chemokine receptor) (Lipopolysaccharide-inducible C-C chemokine receptor) (L-CCR)	Ccrl2 Ccr11 Lccr	Mus musculus (Mouse)	360						10090.ENSMUSP00000107519;		"MISCELLANEOUS: It was initially reported that CCRL2 responds functionally to CCL2, CCL5, CCL7, and CCL8 via intracellular calcium mobilization and transwell chemotaxis although no evidence for a direct ligand-receptor interaction was provided in this report (PubMed:14999816). These results are now controversial and other studies failed to confirm CCRL2 recognition and transwell chemotaxis of these chemokines or a series of other CC- and CXC-chemokines using CCRL2-transfected cells (PubMed:18794339). {ECO:0000305|PubMed:14999816, ECO:0000305|PubMed:18794339}."
P11942	CD3G_MOUSE	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	Cd3g	Mus musculus (Mouse)	182						10090.ENSMUSP00000002101;		
P51680	CCR4_MOUSE	C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (CD antigen CD194)	Ccr4 Cmkbr4	Mus musculus (Mouse)	360					MINT-4996815;	10090.ENSMUSP00000062677;		
Q8VHP6	CDHR1_MOUSE	Cadherin-related family member 1 (Photoreceptor cadherin) (prCAD) (Protocadherin-21)	Cdhr1 Kiaa1775 Pcdh21 Prcad	Mus musculus (Mouse)	859	O43490			Q8VHP6;		10090.ENSMUSP00000022337;		
Q6SJQ5	CLM3_MOUSE	CMRF35-like molecule 3 (CLM-3) (CD300 antigen like family member H)	Cd300lh Clm3 Lmir7	Mus musculus (Mouse)	245								
Q3U497	CLM7_MOUSE	CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (CD antigen CD300b)	Cd300lb Irem3 Lmir5	Mus musculus (Mouse)	209						10090.ENSMUSP00000073913;		
Q6SJQ0	CLM8_MOUSE	CMRF35-like molecule 8 (CLM-8) (CD300 antigen-like family member A) (Leukocyte mono-Ig-like receptor 1) (Mast cell-derived paired immunoglobulin-like receptor 1) (Myeloid-associated immunoglobulin-like receptor 1) (MAIR-1) (MAIR-I) (CD antigen CD300a)	Cd300a Clm8 Lmir1 Mcpir1	Mus musculus (Mouse)	318		229881;				10090.ENSMUSP00000102192;		
P47746	CNR1_MOUSE	Cannabinoid receptor 1 (CB-R) (CB1) (Brain-type cannabinoid receptor)	Cnr1	Mus musculus (Mouse)	473						10090.ENSMUSP00000055797;		
Q9Z2H6	CLC4D_MOUSE	C-type lectin domain family 4 member D (C-type lectin superfamily member 8) (Macrophage-restricted C-type lectin)	Clec4d Clecsf8 Mcl	Mus musculus (Mouse)	219					MINT-4998555;	10090.ENSMUSP00000032240;		
Q6QLQ4	CLC7A_MOUSE	C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1)	Clec7a Bgr Clecsf12 Dectin1	Mus musculus (Mouse)	244								
Q920A1	CLTR2_MOUSE	Cysteinyl leukotriene receptor 2 (CysLTR2)	Cysltr2 Cyslt2	Mus musculus (Mouse)	309						10090.ENSMUSP00000040715;		
O54689	CCR6_MOUSE	C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (KY411) (CD antigen CD196)	Ccr6 Cmkbr6	Mus musculus (Mouse)	367						10090.ENSMUSP00000095029;		
Q8K4F0	CD226_MOUSE	CD226 antigen (Platelet and T-cell activation antigen 1) (CD antigen CD226)	Cd226 Pta1	Mus musculus (Mouse)	333						10090.ENSMUSP00000043551;		
Q07763	CD244_MOUSE	Natural killer cell receptor 2B4 (NK cell type I receptor protein 2B4) (NKR2B4) (Non-MHC restricted killing associated) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244)	Cd244 2b4 Nmrk	Mus musculus (Mouse)	397		201792;				10090.ENSMUSP00000004829;		
P41272	CD27_MOUSE	CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27)	Cd27 Tnfrsf7	Mus musculus (Mouse)	250		204252;		P41272;		10090.ENSMUSP00000032486;		
Q9DCG2	CD302_MOUSE	CD302 antigen (C-type lectin domain family 13 member A) (Type I transmembrane C-type lectin receptor DCL-1) (CD antigen CD302)	Cd302 Clec13a	Mus musculus (Mouse)	228						10090.ENSMUSP00000028356;		
Q925P2	CEAM2_MOUSE	Carcinoembryonic antigen-related cell adhesion molecule 2 (CEA-related cell adhesion molecule 2) (Biliary glycoprotein 2) (BGP-2)	Ceacam2 Bgp2	Mus musculus (Mouse)	520						10090.ENSMUSP00000048118;		"MISCELLANEOUS: The human orthologous protein seems not to exist. In mice, both Ceacam1 and Ceacam2 are the paralogs of human CEACAM1."
Q99JA4	CLTR1_MOUSE	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor)	Cysltr1 Cyslt1 Cyslt1r	Mus musculus (Mouse)	352			DIP-48916N;			10090.ENSMUSP00000063520;		"MISCELLANEOUS: MK-571, a selective antagonist, was shown to inhibit eosinophilia, bronchial hyperreactivity and microvascular leakage. Zafirlukast (Accolate) and pranlukast (Onon) were also shown to be selective antagonists."
Q8K4Q8	COL12_MOUSE	Collectin-12 (Collectin placenta protein 1) (CL-P1) (Scavenger receptor with C-type lectin)	Colec12 Clp1 Srcl	Mus musculus (Mouse)	742				Q8K4Q8;	MINT-4120297;	10090.ENSMUSP00000043220;		
Q8C1T8	CLC2H_MOUSE	C-type lectin domain family 2 member H (C-type lectin-related protein F) (Clr-f)	Clec2h Clrf	Mus musculus (Mouse)	218						10090.ENSMUSP00000032518;		
A2A7V7	CLM6_MOUSE	CMRF35-like molecule 6 (CLM-6) (CD300 antigen-like family member C) (CD antigen CD300c)	Cd300c Clm6	Mus musculus (Mouse)	229								
Q149M0	CL12B_MOUSE	C-type lectin domain family 12 member B	Clec12b	Mus musculus (Mouse)	275						10090.ENSMUSP00000032261;		
Q9D676	CLC2G_MOUSE	C-type lectin domain family 2 member G (DDV10) (Osteoclast inhibitory lectin-related protein 1) (Ocil-related protein 1)	Clec2g Clec2f Ddv10 Ocilrp1	Mus musculus (Mouse)	269						10090.ENSMUSP00000000254;		
P47936	CNR2_MOUSE	Cannabinoid receptor 2 (CB-2) (CB2) (mCB2)	Cnr2	Mus musculus (Mouse)	347						10090.ENSMUSP00000069957;		
Q64735	CR1L_MOUSE	Complement component receptor 1-like protein (Complement regulatory protein Crry) (Protein p65)	Cr1l Crry Cry	Mus musculus (Mouse)	483				Q64735;	MINT-4117560;			
Q80XD9	CLC2E_MOUSE	C-type lectin domain family 2 member E (C-type lectin-related protein A) (Clr-a)	Clec2e Clra	Mus musculus (Mouse)	204						10090.ENSMUSP00000032258;		
P70194	CLC4F_MOUSE	C-type lectin domain family 4 member F (C-type lectin superfamily member 13) (C-type lectin 13) (Kupffer cell receptor)	Clec4f Clecsf13 Kclr	Mus musculus (Mouse)	548					MINT-1864469;	10090.ENSMUSP00000014686;		
Q8BRU4	CLC9A_MOUSE	C-type lectin domain family 9 member A (Dendritic cell natural killer lectin group receptor 1)	Clec9a Dngr-1	Mus musculus (Mouse)	238								
Q6SJQ7	CLM1_MOUSE	CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Leukocyte mono-Ig-like receptor 3) (Myeloid-associated immunoglobulin-like receptor 5) (MAIR-5) (MAIR-V) (CD antigen CD300f)	Cd300lf Clm1 Lmir3	Mus musculus (Mouse)	337		232945;		Q6SJQ7;		10090.ENSMUSP00000102171;		
Q8VCH2	CLM5_MOUSE	CMRF35-like molecule 5 (CLM-5) (CD300 antigen like family member D) (Leukocyte mono-Ig-like receptor 4) (Myeloid-associated immunoglobulin-like receptor 4) (MAIR-4) (MAIR-IV)	Cd300ld Clm5 Lmir4	Mus musculus (Mouse)	221						10090.ENSMUSP00000047022;		
Q1ERP8	CLM9_MOUSE	CMRF35-like molecule 9 (CLM-9) (CD300 antigen-like family member G) (Nepmucin) (CD antigen CD300g)	Cd300lg Clm9 D11Ertd736e	Mus musculus (Mouse)	331								
Q7TSN2	CLM_MOUSE	CMRF35-like molecule (CLM) (Dendritic cell-derived Ig-like receptor 1) (DIgR1) (Immunoglobulin superfamily member 7) (IgSF7) (Leukocyte mono-Ig-like receptor 2) (Myeloid-associated immunoglobulin-like receptor 2) (MAIR-2) (MAIR-II)	Clm Cd300c Igsf7 Lmir2	Mus musculus (Mouse)	230		228270;				10090.ENSMUSP00000090121;		
P97468	CML1_MOUSE	Chemokine-like receptor 1 (G-protein coupled receptor DEZ)	Cmklr1 Dez Gpcr27	Mus musculus (Mouse)	371						10090.ENSMUSP00000036316;		
Q60748	CRFR2_MOUSE	Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (CRF-RB) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2)	Crhr2 Crf2r	Mus musculus (Mouse)	411		198882;	DIP-61295N;			10090.ENSMUSP00000003568;		
